Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
TemporalConvNet,1800.0,5,2000,character_error_rate_tfm,2.80867125838994,True,Character Error Rate (%)
TemporalConvNet,1800.0,1,4000,character_error_rate_tfm,2.48777531087398,True,Character Error Rate (%)
TemporalConvNet,1800.0,2,4000,character_error_rate_tfm,3.29997166991233,True,Character Error Rate (%)
TemporalConvNet,1800.0,3,4000,character_error_rate_tfm,2.32081711292266,True,Character Error Rate (%)
TemporalConvNet,1800.0,4,4000,character_error_rate_tfm,2.7649525552988,True,Character Error Rate (%)
TemporalConvNet,1800.0,5,4000,character_error_rate_tfm,3.4219428896903903,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,64,character_error_rate_tfm,3.47531586885452,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,64,character_error_rate_tfm,3.2780501991510302,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,64,character_error_rate_tfm,3.0008895322680402,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,64,character_error_rate_tfm,3.92808802425861,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,64,character_error_rate_tfm,2.63708494603633,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,176,character_error_rate_tfm,2.12361253798007,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,176,character_error_rate_tfm,3.25009599328041,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,176,character_error_rate_tfm,2.56058704107999,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,176,character_error_rate_tfm,2.70344149321317,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,176,character_error_rate_tfm,2.05062516033649,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,1000,character_error_rate_tfm,1.42828999087214,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,1000,character_error_rate_tfm,2.1574517711997,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,1000,character_error_rate_tfm,1.77337136119604,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,1000,character_error_rate_tfm,1.75436716526746,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,1000,character_error_rate_tfm,2.17888038605451,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,2000,character_error_rate_tfm,1.70203708112239,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,2000,character_error_rate_tfm,2.2369204089045502,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,2000,character_error_rate_tfm,1.72571130096912,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,2000,character_error_rate_tfm,1.53788765892386,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,2000,character_error_rate_tfm,2.63641495257616,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,4000,character_error_rate_tfm,1.3593784533441,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,4000,character_error_rate_tfm,1.7844183370471,True,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,4000,character_error_rate_tfm,1.57305374741554,True,Character Error Rate (%)
