Model,Training set size (s),replicate_num,Loss,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,precision,90.10973572731018,False,Precision (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,precision,90.985906124115,False,Precision (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,precision,92.24919080734252,False,Precision (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,precision,91.23655557632446,False,Precision (%)
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,precision,91.32230877876282,False,Precision (%)
TweetyNet,1800.0,1,CE,precision_tfm,95.7053542137146,True,Precision (%)
TweetyNet,1800.0,2,CE,precision_tfm,95.73306441307068,True,Precision (%)
TweetyNet,1800.0,3,CE,precision_tfm,95.19700407981871,True,Precision (%)
TweetyNet,1800.0,4,CE,precision_tfm,95.04256844520567,True,Precision (%)
TweetyNet,1800.0,5,CE,precision_tfm,94.94948387145996,True,Precision (%)
TweetyNet,1800.0,1,CE+TMSE,precision_tfm,95.43935656547546,True,Precision (%)
TweetyNet,1800.0,2,CE+TMSE,precision_tfm,96.08114361763,True,Precision (%)
TweetyNet,1800.0,3,CE+TMSE,precision_tfm,96.42280340194702,True,Precision (%)
TweetyNet,1800.0,4,CE+TMSE,precision_tfm,96.315199136734,True,Precision (%)
TweetyNet,1800.0,5,CE+TMSE,precision_tfm,95.72083950042723,True,Precision (%)
TweetyNet,1800.0,1,CE+gsTMSE,precision_tfm,96.57144546508788,True,Precision (%)
TweetyNet,1800.0,2,CE+gsTMSE,precision_tfm,95.54219841957092,True,Precision (%)
TweetyNet,1800.0,3,CE+gsTMSE,precision_tfm,96.66969776153564,True,Precision (%)
TweetyNet,1800.0,4,CE+gsTMSE,precision_tfm,96.57970070838928,True,Precision (%)
TweetyNet,1800.0,5,CE+gsTMSE,precision_tfm,96.54222726821901,True,Precision (%)
ConvTemporalConvNet,1800.0,1,CE,precision_tfm,96.24454975128174,True,Precision (%)
ConvTemporalConvNet,1800.0,2,CE,precision_tfm,95.63949704170228,True,Precision (%)
ConvTemporalConvNet,1800.0,3,CE,precision_tfm,96.08019590377808,True,Precision (%)
ConvTemporalConvNet,1800.0,4,CE,precision_tfm,96.29767537117004,True,Precision (%)
ConvTemporalConvNet,1800.0,5,CE,precision_tfm,94.27363872528076,True,Precision (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,precision_tfm,96.52944207191469,True,Precision (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,precision_tfm,96.1136519908905,True,Precision (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,precision_tfm,96.53919339179991,True,Precision (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,precision_tfm,96.2952435016632,True,Precision (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,precision_tfm,96.77411913871764,True,Precision (%)
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,precision_tfm,95.92791199684144,True,Precision (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,precision_tfm,96.38155698776244,True,Precision (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,precision_tfm,96.83146476745604,True,Precision (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,precision_tfm,96.72174453735352,True,Precision (%)
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,precision_tfm,96.09485268592834,True,Precision (%)
TweetyNet,1800.0,1,CE,recall,96.1001753807068,False,Recall (%)
TweetyNet,1800.0,2,CE,recall,96.35988473892212,False,Recall (%)
TweetyNet,1800.0,3,CE,recall,95.8825945854187,False,Recall (%)
TweetyNet,1800.0,4,CE,recall,95.45661807060242,False,Recall (%)
TweetyNet,1800.0,5,CE,recall,96.02243304252625,False,Recall (%)
TweetyNet,1800.0,1,CE+TMSE,recall,95.76219916343688,False,Recall (%)
TweetyNet,1800.0,2,CE+TMSE,recall,96.38364911079408,False,Recall (%)
TweetyNet,1800.0,3,CE+TMSE,recall,96.62668108940125,False,Recall (%)
TweetyNet,1800.0,4,CE+TMSE,recall,96.49870991706848,False,Recall (%)
TweetyNet,1800.0,5,CE+TMSE,recall,96.2525188922882,False,Recall (%)
TweetyNet,1800.0,1,CE+gsTMSE,recall,96.85062766075134,False,Recall (%)
TweetyNet,1800.0,2,CE+gsTMSE,recall,96.0607409477234,False,Recall (%)
TweetyNet,1800.0,3,CE+gsTMSE,recall,96.91612124443054,False,Recall (%)
TweetyNet,1800.0,4,CE+gsTMSE,recall,96.90784215927124,False,Recall (%)
TweetyNet,1800.0,5,CE+gsTMSE,recall,96.99346423149107,False,Recall (%)
ConvTemporalConvNet,1800.0,1,CE,recall,97.01687097549438,False,Recall (%)
ConvTemporalConvNet,1800.0,2,CE,recall,96.74419164657591,False,Recall (%)
ConvTemporalConvNet,1800.0,3,CE,recall,97.07111120224,False,Recall (%)
ConvTemporalConvNet,1800.0,4,CE,recall,97.2253680229187,False,Recall (%)
ConvTemporalConvNet,1800.0,5,CE,recall,95.7108199596405,False,Recall (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,recall,97.45870232582092,False,Recall (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,recall,96.79033160209656,False,Recall (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,recall,97.676020860672,False,Recall (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,recall,97.22533226013184,False,Recall (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,recall,97.6482629776001,False,Recall (%)
ConvTemporalConvNet,1800.0,1,CE+gsTMSE,recall,96.84396982192992,False,Recall (%)
ConvTemporalConvNet,1800.0,2,CE+gsTMSE,recall,97.19489812850952,False,Recall (%)
ConvTemporalConvNet,1800.0,3,CE+gsTMSE,recall,97.5086748600006,False,Recall (%)
ConvTemporalConvNet,1800.0,4,CE+gsTMSE,recall,97.40856289863586,False,Recall (%)
